Year,Orchard,State,Region,Variety,Total_Trees_Assessed,HR Incidence,Predicted_Risk_Probability,Predicted_Risk_Level
2018.19,Belvedere,Vic,Riverina,Carmel,11,0.0,0.11,Low
2018.19,Belvedere,Vic,Riverina,Monterey,1,0.0,0.18,Low
2018.19,Belvedere,Vic,Riverina,Np,25,0.76,0.82,High
2018.19,Belvedere,Vic,Riverina,Price,5,0.4,0.67,High
2018.19,Bennett,Vic,Sunraysia,Carmel,12,0.0,0.0,Low
2018.19,Bennett,Vic,Sunraysia,Np,19,0.8947368421052632,0.64,High
2018.19,Bennett,Vic,Sunraysia,Price,2,0.0,0.0,Low
2018.19,Big River Produce,SA,Riverland,Carmel,13,0.0769230769230769,0.0,Low
2018.19,Big River Produce,SA,Riverland,Np,11,0.2727272727272727,0.08,Low
2018.19,Big River Produce,SA,Riverland,Price,6,0.0,0.0,Low
2018.19,Caernarvon,Vic,Sunraysia,Carmel,19,0.1052631578947368,0.15,Low
2018.19,Caernarvon,Vic,Sunraysia,Np,26,1.0,0.95,High
2018.19,Caernarvon,Vic,Sunraysia,Price,9,0.5555555555555556,0.87,High
2018.19,Carina,Vic,Sunraysia,Carmel,9,0.1111111111111111,0.15,Low
2018.19,Carina,Vic,Sunraysia,Np,21,1.0,0.94,High
2018.19,Carina,Vic,Sunraysia,Price,6,0.8333333333333334,0.83,High
2018.19,Century Loxton,SA,Riverland,Carmel,84,0.0595238095238095,0.03,Low
2018.19,Century Loxton,SA,Riverland,Np,107,0.3644859813084112,0.72,High
2018.19,Century Loxton,SA,Riverland,Peerless,12,0.0,0.02,Low
2018.19,Century Loxton,SA,Riverland,Price,4,0.0,0.03,Low
2018.19,Chatfield,WA,WA,Carmel,16,0.0,0.0,Low
2018.19,Chatfield,WA,WA,Monterey,5,0.0,0.07,Low
2018.19,Chatfield,WA,WA,Np,21,0.0,0.03,Low
2018.19,Chatfield,WA,WA,Price,6,0.0,0.01,Low
2018.19,Cmv Lp,SA,Riverland,Carmel,70,0.1571428571428571,0.03,Low
2018.19,Cmv Lp,SA,Riverland,Monterey,26,0.0769230769230769,0.07,Low
2018.19,Cmv Lp,SA,Riverland,Np,137,0.4087591240875912,0.87,High
2018.19,Cmv Lp,SA,Riverland,Peerless,21,0.1904761904761904,0.07,Low
2018.19,Domenic Cavallaro,SA,Adelaide Plains,Carina,6,0.0,0.06,Low
2018.19,Domenic Cavallaro,SA,Adelaide Plains,Keane,8,0.125,0.07,Low
2018.19,Domenic Cavallaro,SA,Adelaide Plains,Np,32,0.8125,0.6,High
2018.19,Domenic Cavallaro,SA,Adelaide Plains,Peerless,7,0.0,0.02,Low
2018.19,Egan Rd,Vic,Riverina,Carmel,7,0.0,0.2,Medium
2018.19,Egan Rd,Vic,Riverina,Independence,8,0.0,0.24,Medium
