Year,State,Company,Orchard,Region,Region Wt,Block,Area ha,TotalOrchard Area,Orchard wt,Orchard_Scale,RegionTotal Ha,Row,Tree,Tree#,Variety,Days over 40C,Days over 35C,Total Amount of rain ml since 1 Jan ,No of rain days since 1 Jan ,Days since last rain <5days from assess,Amt rain in last event<5days from assess,Days since last rain >5days from assess,Amt rain in last event>5days from assess,Total rain Jan mm,No rain days Jan,Total rain Feb mm,No rain days Feb,Rain 1st week Jan,Rain 2nd week  Jan,Rain 3rd week  Jan,Rain 4th week  Jan,Rain within 7 days of assessment,Rain within 10 days of assessment,HR assessed,Root stock,Row spacing,Tree spacing,Irrigation,Crop prior,Bacterial spot,blossom blight fungicide,shot hole fungicide,Rust fungicide,anthracnose fungicide,hull rot fungicide,biologicals,alternatives,"deficit irrigation (No, RDI, SDI)",Split date NP,HullRot_WTD,HullRotJOhull,HR comboF,Hull split,LLDB dead branches,LLDBYellowing,LLDB combo,Gumtrunk,Gumscaffold,Gumtree crotch,Trunkcankers,Twig canker,Foamy canker,TD combo,Wilting - whole tree decline,Wilting - one scaffold,Wiltcombo,Anthracnose - nut,Anthracnose - leaf,Anthracnose combo,Bacterial spot - nut,Bacterial spot - leaf,Bacterial spot combo,Scab - nut,Scab - leaf,Scab combo,Rust,Shot Hole - nut,Shot Hole - leaf,Shotholecombo,Alternaria leaf spot,Unknown leaf spot/ symptom,Unknown fruit spot/ symptom,Unknown fruit gum
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,4,5,4,Carmel,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Split,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,4,39,5,Carmel,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Not split,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,12,44,14,Carmel,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Not split,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,12,54,15,Carmel,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Not split,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,12,59,16,Carmel,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Not split,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,16,15,21,Carmel,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Not split,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,16,39,22,Carmel,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Not split,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,20,25,27,Carmel,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Not split,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,20,39,28,Carmel,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Not split,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.19,SA,Century,Century Loxton,Riverland,0.199435228,D6,9.94,600,0.395935067,3.5634156,7910,1,49,1,NP,13,22,6,2,,0,7,2.2,4,1,2,1,0,0,0,,0,0,14.2.19,Nemaguard,7,5,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,0,0,Split,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
