Orchard,Region,Survey date,Rain event date,Days over 40C,Days over 35C,Total Amount of rain ml since 1 Jan 20,No of rain days,Days since last rain,Amt rain in last event,Total rain Jan mm,No days  Jan,Total rain Feb mm,No days  Feb,Days since last rain,Total Amount of rain ml,No. trees assessed,Hull rot incidence (%)
Bennett,Mildura,21-Jan-19,8-Jan-19,8,14,3,2,13,2,3,2,0,0,13,1.6,19,79
Caernarvon,Robinvale,13-Feb-19,31-Jan-19,10,24,13,7,6,10,3,3,10,4,13,5,26,96
Carina,Robinvale,14-Feb-19,7-Feb-19,9,24,9,6,4,1,2,3,7,3,7,3.2,21,95
Lake Powell,Robinvale,13-Feb-19,31-Jan-19,11,26,10,7,5,2,8,3,2,4,13,4.6,37,95
Nutwood,Riverland,29-Jan-19,21-Jan-19,10,19,3,3,2,2,3,3,0,0,8,2.6,36,39
Margooya,Robinvale,12-Feb-19,31-Jan-19,10,24,13,7,5,10,3,3,10,4,12,5,27,93
McLaren Dr,Robinvale,23-Jan-19,7-Jan-19,5,10,1,1,16,1,1,1,0,0,16,0.8,9,33
Mullroo,Cullulleraine,22-Jan-19,1-Jan-19,8,14,1,1,21,1,1,1,0,0,20,0.6,39,23
Outback,Wentworth,21-Jan-19,8-Jan-19,8,14,3,2,13,2,3,2,0,0,13,1.6,16,6
Wemen,Robinvale,25-Jan-19,7-Jan-19,6,16,0,1,10,0,0,1,0,0,18,0.4,6,67
Belvedere,Riverina,6-Feb-19,16-Jan-19,16,28,11,5,2,1,10,4,1,1,21,5.6,21,86
Egan Rd,Riverina,8-Feb-19,16-Jan-19,16,29,13,6,1,3,10,4,4,2,23,5.6,7,71
Yilgah,Riverina,7-Feb-19,19-Jan-19,20,30,14,3,2,7,7,2,7,1,19,4,17,94
WA,WA,13-Feb-19,no rain,18,32,0,0,0,0,0,0,0,0,0,0,20,0
Nick Pezzaniti,Adelaide Plains,24-Jan-19,no rain,6,8,0,0,0,0,0,0,0,0,0,0,77,14
Vince Ruggiero,Adelaide Plains,15-Feb-19,6-Feb-19,9,13,2,4,1,1,0,0,2,4,9,0.6,53,13
Domenic Cavallaro,Adelaide Plains,6-Feb-19,no rain,9,13,0,0,0,0,0,0,0,0,0,0,32,25
Walker Flat Almonds,Riverland,23-Jan-19,no rain,2,5,0,0,0,0,0,0,0,0,0,0,82,0
Freeman Farming,Riverland,31-Jan-19,27-Jan-19,11,20,2,2,2,4,2,2,0,0,4,2.4,27,0
Jubilee,Riverland,22-Jan-19,no rain,5,9,0,0,0,0,0,0,0,0,0,0,77,8
CMV,Riverland,30-Jan-19,21-Jan-19,10,19,3,3,3,2,3,3,0,0,9,2.6,137,28
Big River Produce,Riverland,1-Feb-19,27-Jan-19,12,21,3,2,5,2,3,2,0,0,5,2.4,11,9
Gary Thorpe,Riverland,12-Feb-19,7-Feb-19,12,22,10,3,5,4,6,1,4,2,5,3.6,33,0
Gone Nuts,Riverland,13-Feb-19,7-Feb-19,12,23,4,3,6,1,3,1,2,2,6,1.2,30,0
Century,Riverland,14-Feb-19,7-Feb-19,13,22,6,2,7,2,4,1,2,1,7,2.2,107,13
