Year,State,Company,Orchard,Region,Variety,Days over 40C_x,Days over 35C_x,Total Amount of rain ml since 1 Jan_x,No of rain days since 1 Jan_x,Days since last rain <5days from assess_x,Amt rain in last event<5days from assess_x,Days since last rain >5days from assess_x,Amt rain in last event>5days from assess_x,Total rain Jan mm_x,No rain days Jan_x,Total rain Feb mm_x,No rain days Feb_x,Rain 1st week Jan_x,Rain 2nd week  Jan_x,Rain 3rd week  Jan_x,Rain 4th week  Jan_x,Rain within 7 days of assessment_x,Rain within 10 days of assessment_x,HR assessed,Root stock,Irrigation,Crop prior,Bacterial spot,blossom blight fungicide,shot hole fungicide,Rust fungicide,anthracnose fungicide,hull rot fungicide,biologicals,alternatives,"deficit irrigation (No, RDI, SDI)",Split date NP,HR comboF_x,Hull split,Days over 40C_y,Days over 35C_y,Total Amount of rain ml since 1 Jan_y,No of rain days since 1 Jan_y,Days since last rain <5days from assess_y,Amt rain in last event<5days from assess_y,Days since last rain >5days from assess_y,Amt rain in last event>5days from assess_y,Total rain Jan mm_y,No rain days Jan_y,Total rain Feb mm_y,No rain days Feb_y,Rain 1st week Jan_y,Rain 2nd week  Jan_y,Rain 3rd week  Jan_y,Rain 4th week  Jan_y,Rain within 7 days of assessment_y,Rain within 10 days of assessment_y,Total_Trees_Assessed,HR comboF_y,HR Incidence
2018.19,SA,Century,Century Loxton,Riverland,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,5,0.05952380952380952
2018.19,SA,Century,Century Loxton,Riverland,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Not split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,5,0.05952380952380952
2018.19,SA,Century,Century Loxton,Riverland,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Not split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,5,0.05952380952380952
2018.19,SA,Century,Century Loxton,Riverland,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Not split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,5,0.05952380952380952
2018.19,SA,Century,Century Loxton,Riverland,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Not split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,5,0.05952380952380952
2018.19,SA,Century,Century Loxton,Riverland,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Not split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,5,0.05952380952380952
2018.19,SA,Century,Century Loxton,Riverland,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Not split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,5,0.05952380952380952
2018.19,SA,Century,Century Loxton,Riverland,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Not split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,5,0.05952380952380952
2018.19,SA,Century,Century Loxton,Riverland,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Not split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,5,0.05952380952380952
2018.19,SA,Century,Century Loxton,Riverland,Np,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,14.2.19,Nemaguard,Sprinkler,Broad acre,Copper,Azoxystrobin,Nil,"Azoxystrobin, Propiconazole","Mancozeb, Azoxystrobin, Chlorothalonil",Fluopyram/Trifloxystrobin,Nil,Nil,RDI,,0,Split,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,107,39,0.3644859813084112
