Year,Orchard,Variety,Days over 40C,Days over 35C,Total Amount of rain ml since 1 Jan,No of rain days since 1 Jan,Days since last rain <5days from assess,Amt rain in last event<5days from assess,Days since last rain >5days from assess,Amt rain in last event>5days from assess,Total rain Jan mm,No rain days Jan,Total rain Feb mm,No rain days Feb,Rain 1st week Jan,Rain 2nd week  Jan,Rain 3rd week  Jan,Rain 4th week  Jan,Rain within 7 days of assessment,Rain within 10 days of assessment,Total_Trees_Assessed,HR Incidence
2018.19,Belvedere,Carmel,16.0,28.0,11.0,5.0,2.0,0.9,6.0,0.8,10.0,4.0,1.0,1.0,0.0,1.4,5.6,0.0,1.7,3.7,11,0.0
2018.19,Belvedere,Monterey,16.0,28.0,11.0,5.0,2.0,0.9,6.0,0.8,10.0,4.0,1.0,1.0,0.0,1.4,5.6,0.0,1.7,3.7,1,0.0
2018.19,Belvedere,Np,16.0,28.0,11.0,5.0,2.0,0.9,6.0,0.8,10.0,4.0,1.0,1.0,0.0,1.4,5.6,0.0,1.7,3.7,25,0.76
2018.19,Belvedere,Price,16.0,28.0,11.0,5.0,2.0,0.9,6.0,0.8,10.0,4.0,1.0,1.0,0.0,1.4,5.6,0.0,1.7,3.7,5,0.4
2018.19,Bennett,Carmel,8.0,14.0,3.0,2.0,,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,,0.0,0.0,12,0.0
2018.19,Bennett,Np,8.0,14.0,3.0,2.0,,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,,0.0,0.0,19,0.8947368421052632
2018.19,Bennett,Price,8.0,14.0,3.0,2.0,,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,,0.0,0.0,2,0.0
2018.19,Big River Produce,Carmel,12.0,21.0,3.0,2.0,5.0,2.4,31.0,0.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13,0.07692307692307693
2018.19,Big River Produce,Np,12.0,21.0,3.0,2.0,5.0,2.4,31.0,0.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11,0.2727272727272727
2018.19,Big River Produce,Price,12.0,21.0,3.0,2.0,5.0,2.4,31.0,0.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6,0.0
2018.19,Caernarvon,Carmel,10.0,24.0,13.0,7.0,,0.0,6.0,6.6,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,6.8,10.0,19,0.10526315789473684
2018.19,Caernarvon,Np,10.0,24.0,13.0,7.0,,0.0,6.0,6.6,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,6.8,10.0,26,1.0
2018.19,Caernarvon,Price,10.0,24.0,13.0,7.0,,0.0,6.0,6.6,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,6.8,10.0,9,0.5555555555555556
2018.19,Carina,Carmel,9.0,24.0,9.0,6.0,4.0,0.8,7.0,3.2,2.0,3.0,7.0,3.0,0.0,0.0,0.4,1.6,4.0,7.0,9,0.1111111111111111
2018.19,Carina,Np,9.0,24.0,9.0,6.0,4.0,0.8,7.0,3.2,2.0,3.0,7.0,3.0,0.0,0.0,0.4,1.6,4.0,7.0,21,1.0
2018.19,Carina,Price,9.0,24.0,9.0,6.0,4.0,0.8,7.0,3.2,2.0,3.0,7.0,3.0,0.0,0.0,0.4,1.6,4.0,7.0,6,0.8333333333333334
2018.19,Century Loxton,Carmel,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,84,0.05952380952380952
