Orchard,1st week,2nd week,3rd week,4th week,Rain within 7 days of assessment,Rain within 10 days of assessment,Hull rot incidence (%)
Bennett,1.4,1.6,0,,0,0,79
Caernarvon,0,0,1.2,1.6,6.8,10,96
Carina,0,0,0.4,1.6,4,7,95
Lake Powell,0,0,1.2,2.2,0.8,2,95
Nutwood,0,0,0.4,2.2,2.2,2.6,39
Margooya,0,0,1.2,1.6,9.6,10,93
Manna,0.8,0,0,,0,0,33
Meilman,,,,,,,
Mullroo,0.6,0,0,,0,0,23
Outback,1.4,1.6,0,,0,0,6
Wemen,0,0,0.4,1.6,0,0.4,67
Belvedere,0,1.4,5.6,0,1.7,3.7,86
Egan Rd,0,1.4,5.6,0,3.5,6.3,71
Yilgah,0,0,4,3,7,7,94
WA,0,0,0,0,0,0,0
Big River,0.2,0,0,2.4,2.4,2.4,9
Century,0,0,0,4.2,2.2,2.2,13
CMV,0,0,0.4,2.2,2.2,2.6,28
Domenic,0,0,0,0,0,0,25
Freeman,0,0,0,2.4,2.4,2.4,0
Thorpe,0,0,0,5.8,4.4,4.4,0
Gone nuts,0,0,0,2.6,1.2,1.6,0
Jubilee,0,0,0,,0,0,8
Nick,0,0,0,,0,0,14
Vince,0,0,0,0,1,1.6,13
Walker flat,0,0,0,,0,0,0
