Date,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
2018-06-22,2.0,9.1,15.4,10.2,61.7,60.7,0.0,3.1,13.4,0.0,164.9,3.6,10.6
2018-06-23,-1.4,6.8,17.0,7.9,69.5,68.1,0.0,1.6,10.8,0.0,132.9,0.9,9.1
2018-06-24,3.2,8.5,15.6,9.4,80.2,79.5,0.0,3.9,24.3,0.0,101.7,1.0,10.1
2018-06-25,0.3,5.4,11.8,6.7,77.8,77.2,0.0,3.3,20.9,0.0,92.1,0.9,9.6
2018-06-26,-1.3,5.4,12.4,6.4,79.7,79.0,0.0,3.3,22.6,0.0,79.7,0.8,8.4
2018-06-27,0.6,7.7,15.2,8.7,72.9,72.4,0.0,3.7,18.4,0.0,129.6,0.9,9.8
2018-06-28,-1.9,6.2,15.0,7.0,76.3,75.8,0.0,4.0,16.7,0.0,106.3,1.0,9.1
2018-06-29,5.0,10.3,17.5,11.0,61.7,61.0,0.8,11.2,39.4,0.0,102.1,1.3,10.0
2018-06-30,1.2,8.3,15.6,9.2,78.2,77.7,0.0,8.7,31.0,0.0,113.9,2.0,10.5
2018-07-01,-2.1,4.7,14.0,5.8,79.8,79.2,0.0,1.7,12.5,0.0,115.0,1.0,9.2
2018-07-02,-0.1,7.9,15.4,8.7,67.6,67.5,0.0,6.5,22.6,0.0,131.7,1.0,9.2
2018-07-03,4.5,10.5,19.7,11.2,51.4,51.0,1.6,9.0,26.8,0.0,123.0,1.7,10.4
2018-07-04,5.8,14.5,23.2,15.0,33.0,32.4,0.0,9.9,28.5,0.0,127.0,2.6,11.2
2018-07-05,10.8,17.4,25.3,17.6,38.5,38.0,0.0,13.9,46.9,0.0,126.6,3.5,13.9
2018-07-06,9.6,12.3,16.1,12.7,64.4,63.8,2.4,18.3,46.1,0.2,112.5,4.2,14.0
2018-07-07,7.2,10.9,14.6,11.3,67.0,66.5,2.4,19.8,52.8,0.6,115.8,2.4,12.6
2018-07-08,9.2,12.3,16.8,12.7,72.3,71.8,4.1,15.3,42.7,0.0,88.4,2.2,12.8
2018-07-09,9.5,11.0,13.8,11.5,90.4,90.1,0.0,7.8,26.0,0.8,86.7,1.6,13.2
2018-07-10,0.6,7.7,13.9,8.5,82.1,81.8,0.0,3.4,15.9,0.0,87.5,0.8,12.0
2018-07-11,1.5,6.6,13.5,7.6,87.4,87.0,0.0,6.4,33.5,2.6,92.9,0.9,10.2
2018-07-12,1.8,7.4,10.5,8.3,87.1,87.2,0.0,7.0,22.6,0.4,64.5,1.0,10.2
2018-07-13,-2.9,4.3,13.7,5.4,84.8,84.3,0.0,2.7,15.0,0.2,143.0,0.7,9.0
2018-07-14,1.4,8.4,16.6,9.2,62.3,61.7,0.8,8.2,28.5,0.0,147.3,1.1,9.2
