Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - min,Humidity % - ave,Humidity % - max,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Leaf Wetness mV - ave,Soil Temp degC - ave
31/12/2024,17.6,18.8,20.5,19.1,53.4,63.2,69,62.3,2.2,8.1,18.2,0,0,,541.9,32.6
01/01/2025,13.3,21.2,30,20.6,21.7,52.8,84.4,55.2,0,9.1,29.9,0,412,7.1,540.5,31.2
02/01/2025,11.6,20.2,29.5,17.6,15.6,49.4,84.1,54.2,0,5.7,33.3,0,392.3,7.2,541.5,30.5
03/01/2025,9.6,22.4,34.4,15.1,14.4,48.2,88,60.4,0,2.6,33.3,0,404.2,6.1,542,31.5
04/01/2025,12.1,24.7,37.2,14.7,11.4,46.5,80.4,59,0,3,24.9,0,222.4,6.5,541.1,31
05/01/2025,22.8,30.1,38.7,18.3,14.8,34,70.6,44.5,0,6.3,34.1,0,232,5,538.2,32.2
06/01/2025,15.4,19.4,24.7,1.6,45.5,73.6,95.9,77.4,0,7.4,32.4,8.2,184.2,5.6,777.5,27.8
07/01/2025,11.3,19.6,28.8,-6.5,19.9,51.1,77,56.9,0,6.3,29.1,0,386.1,3.8,544.1,27.2
08/01/2025,13.3,24.1,35.3,3.9,23,57.6,89.7,68.8,0,3,24.9,0,394.4,5.9,544,30.4
09/01/2025,17.3,25,35.2,20.6,19.2,52,83.9,65.9,0,2.5,26.6,0,208.9,6.8,543,30.6
10/01/2025,14.2,26.4,37.7,15.9,15.6,51,91.5,65.5,0,2.6,19.8,0,383.5,4.2,541.3,32.7
11/01/2025,16,26.8,38.7,20.2,16.4,52.6,91.5,65.4,0,3.4,23.2,0,320.8,6.6,541,34
12/01/2025,17,26.9,37.1,22.8,18.8,49,91.8,53.1,0,7.1,31.6,0,356.4,6.9,537.2,34.2
13/01/2025,15.9,28.1,38.5,17.6,15.8,43.9,85.7,50.4,0,6.1,36.6,0,387.3,6.8,535.3,34.7
14/01/2025,17.9,27.8,39.8,12.4,20.3,53.5,91.8,62.2,0,5.5,29.9,0,350.5,8.4,537.4,35.8
15/01/2025,14.4,21.8,26.7,16.6,26.6,56.3,85.2,58.1,0,10.3,43.3,0,250.3,6.8,540.8,32.6
16/01/2025,11.4,19.8,27.4,8,32.2,54.6,88.5,57,0,7.5,28.2,0,344.8,5.2,541.9,30
17/01/2025,14.3,22.6,31.6,12.6,24.7,51.4,84.4,58,0,6.2,27.4,0,381.7,5.8,540.6,31
18/01/2025,15.8,24.4,35.7,7.9,16.4,39.2,68.1,50.1,0,4.7,23.2,0,368.3,7,539.2,32.2
19/01/2025,17.3,26.1,37.1,13.3,19.7,45.5,74.2,61.4,0,2.5,15.7,0,295.7,6.8,539.9,33.1
20/01/2025,16.1,28.8,38.4,16.9,15.7,38.4,79.4,52.9,0,4.5,34.1,0,303.8,5.2,537.1,33.8
21/01/2025,17.3,24.9,35.3,5.6,23.1,55,86.2,56.7,0.5,9.6,36.6,0,367.6,7.1,537.3,34
22/01/2025,15.1,23.2,31.1,18.6,24.6,49.5,85.9,52.1,0,7.7,28.2,0,362.4,7.4,538.8,32.7
23/01/2025,13.7,19.7,25.9,2.3,29.3,46.7,68.3,52.4,0,6.7,33.3,0,244.3,6.2,541.3,30.2
24/01/2025,10.5,20.6,29.9,7.2,22.1,50.5,84,53.6,0,6.8,24.9,0,377.2,4.9,547.2,29.5
25/01/2025,12.5,24.6,33.8,22.7,17.2,44.8,92.9,50.8,0,4.5,19.8,0,366.9,6.3,538.3,31.6
26/01/2025,15.7,25.1,36.5,16.8,21.4,53.2,82.2,62.8,0,3,19,0,324.1,6.4,539.4,32.7
27/01/2025,19.2,29.9,43.6,20.6,10.8,40.8,76.3,44.9,0,10.3,35.8,0,345.2,6.4,532.8,34.5
28/01/2025,16.6,22.6,30.6,-3.8,22.2,48.6,73.7,50,0.5,9.3,29.1,0,384.9,9,538.1,32.9
29/01/2025,13.2,20.3,28.6,1.6,20.9,48.4,71.7,50.1,0,7.6,29.1,0,348,6.8,539.8,31.3
30/01/2025,12.2,20.4,28.9,14,21.6,45.8,69.5,48.2,0,7.2,24,0,358.7,6.3,539.6,30.3
31/01/2025,12.4,21.7,31.9,12.6,16.6,46.5,76.8,51.8,0,5,20.7,0,343.1,6.2,539.5,30.2
01/02/2025,15.4,27.6,40.8,19.7,18.7,42.2,71.7,53.4,0,4.3,19,0,373.6,6.3,536.9,32.2
02/02/2025,20.1,29.9,42.6,25.6,12.8,39.9,80.1,49.8,0,4.5,32.4,0,324.8,7.1,534.6,34.5
03/02/2025,20.9,29.3,40.7,27.4,21.7,55.4,93.7,63.8,0,5.9,50.9,2.8,310.2,7.3,617.6,35.7
04/02/2025,20.2,28.6,38.7,26.7,26.1,56.1,93.8,61.9,0,6.8,29.9,0,349.8,6.5,575.7,33.9
05/02/2025,16.2,23.7,33.4,17.7,23.1,49.6,75.9,53.1,0,6.1,24.9,0,301.8,7.8,538.3,32.9
06/02/2025,13.7,26.8,40,18.1,22.4,46.9,77.5,55.7,0,3.4,25.7,0,331.6,5.5,537.1,33.1
07/02/2025,17.4,24.8,33.5,23.8,22.5,52.7,86.3,53.9,0,8.8,30.7,0,335.9,7.1,537,33.8
08/02/2025,15.4,22.7,30.9,12.4,20.8,46.8,74.6,48.7,0,7.3,29.9,0,355.5,6.7,537.9,32.5
09/02/2025,14.3,22.2,31.4,12.7,19.6,51.5,79.1,53.8,0,5.9,32.4,0,325.5,6.3,538.9,31.7
10/02/2025,13.7,24.7,35.3,17,18.8,52.1,92.4,57.2,0,3.9,19.8,0,339.3,6.1,538.7,32.6
11/02/2025,17.9,27.3,38.6,6.6,14.4,42.1,68.9,50.2,0,3.6,17.3,0,342.1,6.1,536,33.7
12/02/2025,17.5,29.8,41.1,9.9,13,35.6,68.7,42.7,0,3.8,19,0,339,6.7,534.1,34.7
13/02/2025,18.1,25.1,28.4,10.8,30.4,47.9,66.9,49.1,0,7.9,29.9,0,129.2,7,535.8,32.4
14/02/2025,13.9,19.9,27.7,-1.7,32.1,60.6,90.2,60.6,0,8.2,37.4,0,251.1,3.5,541.6,29.4
15/02/2025,11,17.2,24.5,-15.9,31.5,53.1,86.6,53.4,0,9,45,0,247.2,4.9,543,27.5
16/02/2025,7.2,15.4,24.6,5.6,22.8,50.7,78.6,52.5,0,4.2,23.2,0,347.4,4.5,544.1,26.8
17/02/2025,9.3,18.2,28.4,16.5,16.9,44.1,67.9,49.8,0,3.3,24,0,334.7,5.3,542.3,27.8
18/02/2025,9.6,20.8,29.1,15.5,18.7,41.7,76.1,44.4,0,7.1,33.3,0,334,5.2,539,28.9
19/02/2025,10.3,18.4,26.9,12.4,26.8,49.9,73.8,50.4,0,6.7,28.2,0,323.5,5.8,541.1,28.3
20/02/2025,10.5,18.4,28.4,13.7,22.5,52.6,84.1,53.4,0,4.8,24,0,327.3,5.6,541.6,28.1
21/02/2025,8.7,21.3,35.5,8.7,15,49.1,86.9,55.3,0,2.2,14.8,0,333,5,540.9,28.8
22/02/2025,14.2,28.5,41.5,3.5,9,30.7,67.8,35.8,0,5.7,37.4,0,295.8,5.8,532.9,30.8
23/02/2025,15.6,23.7,31,8.9,19.5,48.3,79.7,48.2,0,8.8,28.2,0,327,7.8,536,31.7
24/02/2025,11.1,20.3,30.3,-1.6,26.2,58.2,93.4,58.3,0,4,21.5,0,308.6,5.8,540.7,30
25/02/2025,11.3,22.4,34.9,21.8,19.8,51.8,86.4,55.4,0,2.6,19.8,0,292.9,5.4,538.8,30.6
26/02/2025,12.6,26.1,38.8,25.4,12.3,44,84.1,47.8,0,5.3,52.6,0,305.3,4.9,534.7,31.4
27/02/2025,16.2,25.1,35.9,24.6,21.6,52.3,93.4,54.9,0,4.5,24,0,269.5,6.9,537.6,32.1
28/02/2025,18.7,26.2,35.4,25.5,27.2,44.2,65.6,48.9,0,4.5,29.1,0,253.5,5.2,534.7,32.2
01/03/2025,14.3,21.5,29.5,21.5,32.4,58.5,87.7,59.8,0,4.5,25.7,0,166.9,5.5,539.7,30.2
02/03/2025,13.2,20.4,27.8,20.7,32.8,58.7,91.2,58.7,0,5.7,27.4,0,290.7,3.5,540.4,28.9
03/03/2025,11.8,19.7,30.5,19.9,14.4,46.8,74.3,47.9,0,4.7,29.1,0,301.1,5.4,539.7,28.8
04/03/2025,7.8,20.5,36.4,19.9,11.7,47.9,81.9,52.2,0,2.5,15.7,0,415.3,4.8,540.1,27.2
