Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - min,Humidity % - ave,Humidity % - max,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Leaf Wetness mV - ave,Soil Temp degC - ave
31/12/2022,22.3,23.2,24.2,29.4,,45.3,,56.2,0.8,5.1,12.5,0,0,,,22.1
01/01/2023,15.5,29,40.5,24,,47.2,,64,0,2.5,20.1,0,371.3,6.5,,22.5
02/01/2023,16.1,25.7,34,23.8,,52.9,,58.6,0,8,29.3,0,385.6,7.3,,23.6
03/01/2023,13,19.4,26.9,19.5,,57.9,,61,0,10.3,31,0,397.7,7.4,,21.6
04/01/2023,11,17.9,24.7,27.3,,50.4,,54.2,0,8.8,32.7,0,400.8,6.5,,20
05/01/2023,9.9,19.4,27.7,27.3,,52.3,,57.2,0,6.9,25.1,0,396.4,6.1,,19.7
06/01/2023,14.4,22.1,30.5,30.2,,50,,60.2,0,4.7,31.8,0,387.9,6.5,,20.4
07/01/2023,15.1,25,35.2,29.9,,45.2,,59.2,0,3.5,21.8,0,385.1,6.3,,21.3
08/01/2023,18.9,27.8,38.4,27.6,,43.9,,58.4,0,3.3,17.6,0,363.3,6.9,,22.5
09/01/2023,16.7,25.3,35.2,24.8,,53.1,,59,0,6.7,24.3,0,381,7,,23.2
10/01/2023,15,24,33.5,24,,50.6,,58.4,0,5,20.1,0,375.7,7.2,,22.9
11/01/2023,15,24.9,37.7,23.8,,53.6,,65.6,0,3,15.9,0,320.5,6.4,,22.8
12/01/2023,15.4,24.9,36.2,25.1,,50.1,,59.6,0,4.2,17.6,0,373.3,6.3,,23
13/01/2023,15.7,25.1,37.9,28.8,,54.6,,67.9,0,2,13.4,0,345.8,6.7,,23.2
14/01/2023,13.1,26.8,40.5,27,,49,,63.5,0,5.2,38.5,0,340.6,6.1,,23.3
15/01/2023,15,21.2,28.2,25.1,,55,,62.8,0,6.6,26.8,0,336.2,7.9,,22.6
16/01/2023,17.5,22.7,30.4,28.7,,51.2,,67.8,0,2.7,15.9,0,192.2,5.6,,21.8
17/01/2023,17.1,26.7,41.2,28.6,,55.1,,67,0,5.2,40.2,0,298.5,3.8,,22.5
18/01/2023,13.1,20,23.6,29.8,,74.5,,76.6,0,7.1,26.8,0.6,136.1,5.9,,22.6
19/01/2023,7.6,16.9,24.5,25.9,,52.1,,56.9,0,6.5,31.8,0,385.1,3.2,,20.2
20/01/2023,9.6,18,26,28.8,,54.1,,61.6,0,5.6,22.6,0,332.3,5.7,,19.7
21/01/2023,14.2,22,30.9,18.1,,54.4,,60,0,7.7,30.1,0,353.3,5.2,,20.5
22/01/2023,14.7,23.2,32.3,21.8,,54.7,,61.5,0,5,20.9,0,361.4,6.4,,21.7
23/01/2023,13.8,23,33.3,25.1,,60.9,,71.7,0,3.1,25.1,6,268.7,6.1,,22
24/01/2023,16.8,22.7,30.8,36.4,,67.4,,76.8,0,3.8,19.3,0.2,365,4.9,,21.9
25/01/2023,14,22.6,34.4,32.1,,61,,67,0,5.1,32.7,0,362.9,5.9,,21.7
26/01/2023,12.3,20,28.8,31.4,,60.6,,66.4,0,4.5,21.8,0,358.4,6.5,,21.2
27/01/2023,10.1,22.6,34.9,30.9,,53.1,,66.1,0,2.4,15,0,367.1,5.5,,21.2
28/01/2023,19.5,25.3,31.5,25.2,,46.8,,59.3,0,5.1,35.2,0,152.1,6.4,,21.8
29/01/2023,18.6,20.9,23.4,37.9,,85.4,,92,0,3.2,17.6,8.4,74.3,3.1,,21.8
30/01/2023,15.4,21.6,29.2,28.7,,61.3,,66.2,0,6.8,25.1,0,326.9,1.9,,21.1
31/01/2023,12.3,20.5,29.9,31.3,,57.2,,63.6,0,5.6,26,0,371.8,5.8,,20.5
01/02/2023,13.3,19.1,26.5,33.3,,60.3,,64.3,0,6.8,36.9,0,344.9,6.1,,20.4
02/02/2023,10.2,15.7,23,39.7,,66.2,,70.2,0,10.9,45.3,2.6,191.9,5.1,,19
03/02/2023,12,14.9,19.6,36.7,,63.2,,66.8,0,12.4,40.2,2,273.3,4.1,,16.9
04/02/2023,10.7,17,24.2,35,,63,,66.7,0,7.2,26,0,307,4.1,,17.2
05/02/2023,9.8,18.3,27.8,34.3,,65.7,,71.3,0,2.9,15.9,0,357.2,4.5,,18.3
06/02/2023,10.4,20.3,30.9,32.8,,60.6,,69,0,2.9,16.7,0,358.3,5.2,,19.4
07/02/2023,12.8,21.1,31.7,31.6,,59.1,,67.3,0,3.5,24.3,0,359.6,5.7,,20.4
08/02/2023,13.2,23,33,30.5,,43.1,,57.2,0,3.5,18.4,0,356.8,5.8,,20.7
09/02/2023,11.4,23,37,32,,53.2,,66.2,0,1.8,15.9,0,349.1,5.6,,21.3
10/02/2023,15.7,27.1,36.4,30.4,,40.1,,46.2,0,7.9,31.8,0,354.1,6.2,,22.6
11/02/2023,16.2,21.8,30.4,18.7,,61.2,,62.1,0,9,32.7,0,349.6,7.2,,22.9
12/02/2023,14.7,19.9,26.3,20.4,,56.4,,59.2,0,7.9,26.8,0,348,6.2,,21.6
13/02/2023,10.5,18.3,26.2,28.1,,52.8,,56.6,0,6.2,25.1,0,349.4,5.5,,20.4
14/02/2023,10.3,18.7,29.9,19.4,,57.4,,65.2,0,3,21.8,0,348.5,5.3,,20.4
15/02/2023,9.7,21.8,35.4,16.1,,55.1,,68.3,0,1.6,15,0,339.8,5.1,,20.6
16/02/2023,13.7,26.6,40,27.9,,45,,59.9,0,3,21.8,0,332.9,5.6,,22
17/02/2023,16.1,26.5,35.3,28.2,,45,,51.7,0,6.7,25.1,0,333.4,6.5,,23.4
18/02/2023,13.2,21.1,30.2,17.4,,56.4,,60.3,0,5.8,23.4,0,342.7,6.3,,22.5
19/02/2023,12.5,22.1,34.4,21.3,,57.5,,66.4,0,2.4,13.4,0,334.5,5.5,,22.1
20/02/2023,11.3,25.1,36.3,30,,43.2,,59.1,0,2.9,17.6,0,328.9,5.4,,22.3
21/02/2023,18.1,27.1,35.6,27.9,,37,,50.8,0,6.5,25.1,0,318.6,5.9,,23
22/02/2023,15.3,25.1,35.1,31.5,,38.2,,51.1,0,3.3,21.8,0,317.8,6.6,,23.2
23/02/2023,21.2,28.2,34.9,27.4,,42.8,,50.5,0,6.8,29.3,0,316.1,5.8,,23.9
24/02/2023,21.3,29,38.1,27.6,,40.8,,49.5,0,5.9,25.1,0,276.9,6.6,,24.6
25/02/2023,14.9,21,25.6,27.7,,72.1,,73.7,0,5.4,21.8,0.4,108.3,5.8,,23.8
26/02/2023,10.5,18.4,25.8,19.5,,64.4,,65.9,0,5.2,26,0.2,324.8,2.4,,21.8
27/02/2023,11.2,18.7,28.1,16.1,,66.9,,70.4,0,3.4,37.7,0,304.7,4.7,,21.1
28/02/2023,13.2,19.4,28.1,19.5,,60.8,,64.6,0,5.5,26.8,0,259,4.5,,21.1
01/03/2023,10.8,18.2,25.8,23.6,,59.4,,61.8,0,6.7,26,0,311.4,4.5,,20.5
02/03/2023,10.7,18,25.6,19.1,,62.9,,64.9,0,5.3,34.3,0,317.2,4.7,,20.3
03/03/2023,11.8,18.4,27.2,13.5,,63.7,,67.3,0,4,21.8,0,314.2,4.6,,20.3
04/03/2023,10.9,21.1,32.8,18.9,,54.4,,63.1,0,2.8,20.1,0,307.1,4.5,,20.5
05/03/2023,10.8,20,29.4,13.3,,68.6,,75.8,0,3.7,46.1,0.2,123.8,4.8,,20.7
06/03/2023,11.6,19.4,26.5,21,,60.5,,61.3,0,9,36,0,295.2,2.7,,20.6
07/03/2023,11.9,18.5,25.1,20.5,,59.3,,59.9,0,10,38.5,0,290.7,5,,20.3
08/03/2023,13.3,17.1,22.4,24.8,,65.7,,67.3,0,7.7,36.9,0.8,218.8,5,,19.7
09/03/2023,12.5,17.3,24.4,37.4,,66.8,,69.6,0,3.9,23.4,0.2,219.2,3.3,,19.1
10/03/2023,10.7,18,27.6,35.3,,71.3,,74.3,0,2.4,15,0,282.1,3.3,,19.5
11/03/2023,12.6,20.8,30.8,31.6,,59.4,,63,0,4,27.6,0,285,3.9,,20.3
12/03/2023,11.6,18.1,25.2,35.2,,63.5,,65.2,0,5.6,26,0,276.9,4.8,,20.4
13/03/2023,10.2,18.2,28.3,23.5,,62.4,,67.4,0,2.4,22.6,0,274.5,4,,20
14/03/2023,9.9,20.2,30.9,25.3,,59.7,,66.6,0,2,14.2,0,220,3.8,,20.3
15/03/2023,11,21.3,35,23.8,,60.3,,64.2,0,2.4,16.7,0,280.6,3.5,,20.8
16/03/2023,11.2,14.8,18.9,3.7,78.7,80,81.4,81.8,0,0.9,8.9,1.2,27.4,5.1,,21.3
