Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
31/12/2021,27,27.2,27.8,26,29.3,32,0,3.7,12.5,0,0,,25.9
01/01/2022,17.1,29.3,38.3,28,35.3,42.8,0,5.9,28.5,0,336.8,7.1,25.1
02/01/2022,18.8,29.4,37.6,28.3,41.1,48.9,0,6.7,30.1,0,432.5,6.6,26
03/01/2022,14.4,22.8,30.2,22.9,44.6,46.8,0,9.9,33.5,0,487.4,7.9,24.5
04/01/2022,11.9,20.1,28.6,20.4,48.2,50.1,0,9.2,34.3,0,454.7,7.1,23
05/01/2022,12.5,19.8,26,20.2,62.4,63.4,0.8,9.8,29.3,0,359.8,6.6,22.2
06/01/2022,15,21.2,28.5,21.6,66,66,0,9.5,33.5,0,324.6,4.9,22.3
07/01/2022,17,20,24.6,20.2,72.3,72.5,1.6,12.6,35.2,0,197,5.4,21.9
08/01/2022,16.7,22.1,28.6,22.2,61.4,63.6,0,7.6,24.3,0,310.3,3.7,21.9
09/01/2022,13.4,23.9,35.1,23.4,54.2,62.3,0,2.5,16.7,0,435.1,5.2,22.9
10/01/2022,18.7,30.3,39.2,27.8,31.7,45.4,0,6.2,36,0,376.6,6.6,24
11/01/2022,25.3,31.3,37.3,30,41.1,47.3,0,9.9,32.7,0,395.8,8.7,26.2
12/01/2022,19.9,28.6,37,27.4,50.4,57.8,0,6,24.3,0.8,324.1,8,26.4
13/01/2022,19,27.2,34.7,27.1,53.8,56.4,0,7.2,32.7,0,419.6,5.5,25.6
14/01/2022,14.8,23.4,32.1,23.6,56.2,57.8,0,8.1,29.3,0,433.7,7.2,24.8
15/01/2022,17.7,24.4,33,24.1,53.2,57.9,0,5,23.4,0,417.3,7.1,24.5
16/01/2022,15.8,26.9,37.2,25.8,47.2,53.2,0,6.9,32.7,0,342.4,6.3,24.8
17/01/2022,16.4,22,28.8,21.8,56.8,61.4,0,6.3,28.5,0,275.1,6.5,23.8
18/01/2022,14.7,21.3,27.6,21.1,46.9,50.7,0,6.4,21.8,0,308.5,5.2,22.8
19/01/2022,14.1,24.7,33.3,24.3,44,48.8,0,7.7,35.2,0,425.8,5.6,23.1
20/01/2022,21.1,27.1,32.4,26.5,40.8,44.5,0,11,40.2,0,423.4,7.4,25
21/01/2022,21.4,27.9,33.4,27.1,39.2,43.3,0,9.5,35.2,0,402.9,8.6,25.5
22/01/2022,21.4,27.7,33.3,26.7,43.6,48.6,0,6.6,28.5,0,237,7.3,25.4
23/01/2022,19.7,27.4,34.6,26.6,53.7,58.2,0,6.4,30.1,0,276.9,4.6,25.3
24/01/2022,19.4,25.6,30.4,24.9,65,70.9,0,2.6,15.9,0,152.4,5.2,25
25/01/2022,22.9,29.4,35.6,28.2,51.2,58.2,0,5.2,25.1,0,328.3,,25.9
26/01/2022,23.7,29.5,39.3,29,55.6,59,0,7,36.9,0,318.8,6.2,26.9
27/01/2022,21.4,29.6,39.3,28.7,61.8,68.2,0,6.2,41,14.6,362.9,6.4,26.7
28/01/2022,20.3,25.8,31.4,25.6,64.4,68,0,7.8,31,0,355.3,6.8,25.7
29/01/2022,16.4,24.7,32.5,24.5,54.7,58.6,0,5.3,23.4,0,385.3,6.1,24.2
30/01/2022,18,26.2,34.8,25.8,49.9,55.2,0,4.4,21.8,0,378.6,6.6,24.9
31/01/2022,16.2,28.1,38.1,27.3,49.8,55.2,0,3.4,27.6,0,374.1,6.2,25.5
01/02/2022,15.8,22,27.5,22.3,51,51.2,1.6,11.8,32.7,0,346.6,7.2,25.2
02/02/2022,9.8,17.9,25.3,18.5,46.4,47.1,0,9.8,30.1,0,389.6,6,22.3
03/02/2022,10.9,19.1,26.5,19.4,51.5,52.4,0,8.3,29.3,0,382,5.9,21.6
04/02/2022,11.6,19.7,28.1,20.3,44.6,47.1,0,6.1,32.7,0,420.9,6.2,21.8
05/02/2022,16.4,24,30.8,23.4,37.4,42.7,0,6.2,37.7,0,302,5.9,22.2
06/02/2022,16.6,24.8,30.9,24.2,35.9,40.4,0,6.9,36,0,311.2,5.2,23
07/02/2022,19,26,32.8,25.7,35.2,38.3,0,7.1,31,0,363.5,6.5,23.9
08/02/2022,16.7,25.7,35.3,25,40.5,45,0,6.2,37.7,0,264.8,6.7,24
09/02/2022,18.1,24.2,30.6,24.6,57,57.5,0,7.4,28.5,0,395.8,5.4,24.2
10/02/2022,14.1,21.1,28.3,21.5,52.1,52.9,0,7.6,26.8,0,391.8,5.8,22.9
11/02/2022,12.3,20.9,28.1,21.1,43.5,45.6,0,7,25.1,0,370.5,6.1,22.1
